time,drone_ned_x,drone_ned_y,drone_ned_z,drone_enu_x,drone_enu_y,drone_enu_z,rel_x,rel_y,rel_z,tag_visible,tag_map_x,tag_map_y,tag_map_z,tag_map_kf_x,tag_map_kf_y,tag_map_kf_z
113.744,-0.14153815805912018,-0.006339887622743845,0.29275330901145935,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
113.8,-0.14406812191009521,-0.007044630590826273,0.29287901520729065,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
113.9,-0.14836420118808746,-0.007321463897824287,0.29224270582199097,-0.14836420118808746,0.007321463897824287,-0.29224270582199097,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
114.0,-0.1525270789861679,-0.0068887523375451565,0.2910338342189789,-0.1525270789861679,0.0068887523375451565,-0.2910338342189789,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
114.1,-0.15675541758537292,-0.006354737561196089,0.28916171193122864,-0.15675541758537292,0.006354737561196089,-0.28916171193122864,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
114.2,-0.1602831929922104,-0.0062284646555781364,0.2875393033027649,-0.1602831929922104,0.0062284646555781364,-0.2875393033027649,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
114.3,-0.1644100844860077,-0.006566050462424755,0.2857096791267395,-0.1644100844860077,0.006566050462424755,-0.2857096791267395,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
114.4,-0.16798241436481476,-0.007371190469712019,0.28408312797546387,-0.16798241436481476,0.007371190469712019,-0.28408312797546387,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
114.5,-0.17182126641273499,-0.00853645894676447,0.28196462988853455,-0.17182126641273499,0.00853645894676447,-0.28196462988853455,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
114.6,-0.17492443323135376,-0.009844459593296051,0.2798057496547699,-0.17492443323135376,0.009844459593296051,-0.2798057496547699,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
114.7,-0.177292138338089,-0.011450173333287239,0.2780924141407013,-0.177292138338089,0.011450173333287239,-0.2780924141407013,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
114.8,-0.17841650545597076,-0.012990353628993034,0.2771732211112976,-0.17841650545597076,0.012990353628993034,-0.2771732211112976,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
114.9,-0.17834670841693878,-0.014534263871610165,0.27659180760383606,-0.17834670841693878,0.014534263871610165,-0.27659180760383606,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
115.0,-0.17791831493377686,-0.0159611813724041,0.2768346667289734,-0.17791831493377686,0.0159611813724041,-0.2768346667289734,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
115.1,-0.17736800014972687,-0.01761869713664055,0.2776741087436676,-0.17736800014972687,0.01761869713664055,-0.2776741087436676,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
115.2,-0.17709077894687653,-0.01924443058669567,0.27890217304229736,-0.17709077894687653,0.01924443058669567,-0.27890217304229736,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
115.3,-0.1767207533121109,-0.02099739760160446,0.2802858352661133,-0.1767207533121109,0.02099739760160446,-0.2802858352661133,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
